,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10759,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19604056.0,19604056.0,False,,1,,,,2024-01-21T09:39:00.000Z,41669.51424858886,9943299073.645815,-56.4753,-0.03393707,0.42568346,-2.70785766,-4.53325271,13.82880972,36.42109429,816891490822.1339,49.682,875059799220.37,,2024-01-21T09:39:00.000Z,,,,,,2024-01-21 23:38:56.471723
1,1027,Ethereum,ETH,ethereum,8294,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120176935.56631531,120176935.56631531,True,,2,,,,2024-01-21T09:39:00.000Z,2473.584810063448,4739011981.221796,-53.3952,-0.0516824,0.27813189,-2.6603986,6.80118718,23.14877234,47.97734782,297267842336.8113,18.0794,297267842336.81,,2024-01-21T09:39:00.000Z,,,,,,2024-01-21 23:38:56.471723
2,825,Tether USDt,USDT,tether,72228,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,94929347996.64592,98600769246.12627,True,,3,,,,2024-01-21T09:38:00.000Z,0.9993761452089761,23296851451.523766,-45.1525,0.00589022,0.00661859,-0.08175554,-0.09385699,-0.06968651,-0.09125113,94870125868.08943,5.7703,98539256683.83,,2024-01-21T09:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-21 23:38:56.471723
3,1839,BNB,BNB,bnb,2023,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149548745.03324363,149548745.03324363,False,,4,,,,2024-01-21T09:38:00.000Z,318.6244591617576,699112141.068651,-23.2045,0.35626551,1.48795249,4.86761585,18.4195298,34.29909285,45.30351549,47649888004.536835,2.898,47649888004.54,,2024-01-21T09:38:00.000Z,,,,,,2024-01-21 23:38:56.471723
4,5426,Solana,SOL,solana,616,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,432907376.45250523,567558086.628534,True,,5,,,,2024-01-21T09:39:00.000Z,92.98115837368121,1001414192.5633026,-58.7295,0.22296468,1.45420691,-4.32381582,1.33409715,68.90466813,215.11550823,40252229331.06522,2.4481,52772208339.07,,2024-01-21T09:39:00.000Z,,,,,,2024-01-21 23:38:56.471723
5,52,XRP,XRP,xrp,1209,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54339837528.0,99987984506.0,False,,6,,,,2024-01-21T09:39:00.000Z,0.5517347228176896,632970493.5383549,-45.8676,-0.08238148,1.04119532,-4.51633642,-11.4710074,-7.40509694,4.72980402,29981175196.46937,1.8234,55173472281.77,,2024-01-21T09:39:00.000Z,,,,,,2024-01-21 23:38:56.471723
6,3408,USDC,USDC,usd-coin,16290,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25746376539.289604,25746376539.289604,False,,7,,,,2024-01-21T09:39:00.000Z,0.9999256410918425,2324590617.933588,-56.2051,-0.00489212,-0.01560939,-0.02649888,-0.04230157,-0.00632105,-0.00294161,25744462066.84113,1.5657,25744462066.84,,2024-01-21T09:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-21 23:38:56.471723
7,2010,Cardano,ADA,cardano,1033,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35404649358.475,36557079073.565,False,,8,,,,2024-01-21T09:38:00.000Z,0.5164279154116169,274921725.2765201,-36.101,0.01890193,0.91481861,-5.25586436,-15.96856698,39.10887543,95.84244626,18283949264.076485,1.1121,23239256193.52,,2024-01-21T09:38:00.000Z,,,,,,2024-01-21 23:38:56.471723
8,74,Dogecoin,DOGE,dogecoin,879,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142741396383.70526,142741396383.70526,True,,9,,,,2024-01-21T09:39:00.000Z,0.08549882504559092,1163787740.0537949,243.3966,-0.03424291,8.38077892,3.87327292,-7.97164418,14.58608901,34.9428055,12204221676.173761,0.7422,12204221676.17,,2024-01-21T09:39:00.000Z,,,,,,2024-01-21 23:38:56.471723
9,5805,Avalanche,AVAX,avalanche,642,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366795791.01037914,434828701.01037914,False,,10,,,,2024-01-21T09:38:00.000Z,33.105167919925655,315245988.420613,-39.6511,0.00732093,2.52634871,-9.64549405,-25.42759093,63.6570058,231.87788189,12142836253.720558,0.7385,23835720902.35,,2024-01-21T09:38:00.000Z,,,,,,2024-01-21 23:38:56.471723
